label,axis-0,axis-1
0,11.0,1482.0
1,12.0,1477.5
2,13.0,1568.0
3,21.5,1567.0
4,32.0,1555.5
5,33.0,1558.0
6,41.5,1558.0
7,54.0,1555.0
8,57.5,1553.0
9,60.0,1553.0
10,66.0,1522.0
11,68.0,1524.5
12,77.0,1592.0
13,85.0,1591.0
14,239.0,1520.0
15,241.5,1520.0
16,366.0,1284.0
17,367.0,1275.0
18,439.0,1588.0
19,443.0,1589.5
20,663.0,22.5
21,667.0,28.0
22,749.0,198.0
23,751.0,203.0
24,786.0,414.0
25,788.0,416.0
26,804.0,1586.0
27,804.0,1588.0
28,820.0,656.5
29,824.0,445.5
30,826.0,649.0
31,827.0,453.0
32,836.0,364.0
33,838.0,363.0
34,840.5,365.0
35,841.0,705.0
36,845.0,705.0
37,861.0,767.0
38,864.0,766.0
39,870.0,767.5
40,976.5,1065.0
41,983.0,1067.0
42,1003.0,1147.0
43,1012.0,1148.5
44,1086.5,281.0
45,1093.0,281.5
46,1101.5,1588.0
47,1111.0,1590.0
