label,axis-0,axis-1
0,87.0,524.0
1,90.0,525.5
2,312.0,192.0
3,313.0,188.5
4,668.0,105.0
5,672.0,112.5
6,714.0,326.0
7,721.3333333333334,327.3333333333333
