label,axis-0,axis-1
0,4.0,999.0
1,4.0,1005.5
2,7.0,1013.0
3,29.0,1170.0
4,37.5,1172.0
5,144.0,831.0
6,145.0,833.0
7,260.0,906.0
8,263.5,1470.0
9,264.5,904.0
10,265.0,1465.0
11,273.0,931.0
12,281.0,931.0
13,304.0,1369.0
14,312.0,1374.0
15,408.0,805.0
16,415.0,810.0
17,429.0,1337.0
18,433.0,845.0
19,433.0,1336.0
20,439.0,838.0
21,507.0,612.0
22,512.0,611.0
23,531.0,619.5
24,534.5,624.0
25,538.0,615.0
26,649.0,491.0
27,656.0,490.5
28,687.0,965.0
29,690.0,968.0
30,699.0,980.0
31,704.0,979.0
32,705.0,972.0
33,749.0,1570.0
34,751.0,1567.5
35,759.5,1567.0
36,767.0,849.0
37,769.0,834.0
38,774.0,841.0
39,776.0,848.0
40,841.0,344.0
41,847.5,343.0
42,939.5,1038.0
43,944.0,1036.0
44,1159.5,739.0
45,1169.0,739.0
