label,axis-0,axis-1
0,94.5,387.0
1,99.33333333333333,386.3333333333333
2,202.0,1243.0
3,210.5,1244.0
4,248.0,488.0
5,249.0,493.0
6,272.0,755.0
7,277.0,756.5
8,323.0,1255.5
9,323.5,1259.0
10,419.0,741.5
11,428.0,741.0
12,446.0,560.0
13,453.0,560.0
14,493.0,727.0
15,495.0,725.0
16,613.0,464.5
17,615.0,473.0
18,622.5,143.0
19,625.0,145.0
20,629.5,145.0
21,636.5,523.0
22,645.3333333333334,520.3333333333334
23,650.0,156.0
24,651.0,159.0
25,680.0,268.5
26,682.0,268.0
27,696.5,478.0
28,702.5,475.0
29,708.0,454.0
30,710.0,452.0
31,714.0,426.0
32,715.0,430.0
33,952.0,992.0
34,953.0,1000.5
35,1043.5,800.0
36,1047.0,798.5
37,1049.5,1012.0
38,1059.0,1014.0
39,1122.5,1096.0
40,1125.0,1097.0
41,1152.0,1208.0
42,1154.5,1204.0
