label,axis-0,axis-1
0,36.0,570.0
1,38.0,567.0
2,52.0,1257.0
3,55.5,1255.0
4,67.0,39.5
5,68.0,979.0
6,69.0,35.5
7,75.5,977.0
8,204.0,651.0
9,207.5,25.0
10,208.5,648.0
11,210.0,24.5
12,235.0,1341.5
13,236.0,1338.5
14,256.0,254.5
15,259.0,262.0
16,273.5,1472.0
17,278.0,1475.0
18,336.5,1485.0
19,342.0,1482.0
20,441.0,1042.0
21,445.0,1040.5
22,449.0,1359.0
23,454.5,1358.0
24,558.0,310.0
25,561.0,318.0
26,586.0,467.5
27,589.0,471.0
28,604.0,136.5
29,611.0,135.5
30,641.0,1418.0
31,644.0,1413.0
32,676.5,1567.0
33,683.0,1569.0
34,749.6666666666666,548.6666666666666
35,753.5,540.0
36,795.0,645.0
37,801.3333333333334,644.3333333333334
38,833.0,1205.0
39,835.0,1196.0
40,857.5,191.0
41,861.0,73.0
42,864.0,79.0
43,864.0,185.5
44,929.5,631.0
45,937.3333333333334,633.3333333333334
46,977.0,1485.5
47,979.0,1110.0
48,979.0,1485.0
49,984.0,1113.0
50,989.5,948.0
51,992.0,701.0
52,994.0,951.0
53,995.0,699.0
54,1035.3333333333333,206.33333333333334
55,1043.0,202.5
56,1071.0,1128.5
57,1073.0,1131.0
58,1138.0,399.0
59,1140.0,398.5
