label,axis-0,axis-1
0,12.0,713.0
1,17.0,718.0
2,38.0,608.0
3,43.0,616.0
4,121.0,1116.0
5,122.0,1108.0
6,198.0,257.0
7,198.5,829.0
8,204.0,259.5
9,204.0,829.0
10,206.0,48.5
11,210.0,42.0
12,610.0,1258.0
13,611.0,1253.0
14,614.0,194.0
15,621.5,192.0
16,754.0,190.5
17,762.0,190.0
18,784.5,1425.0
19,789.0,1428.0
20,794.5,81.0
21,798.5,83.0
22,805.0,129.0
23,805.5,135.0
24,943.0,820.0
25,952.0,821.0
26,1011.5,821.0
27,1015.5,819.5
28,1152.0,11.5
29,1153.0,47.0
30,1157.5,11.0
31,1161.5,43.0
32,1162.0,948.5
33,1164.0,957.0
34,1170.0,45.0
